name,scaleB1,scaleB2,max,mean
TVY1R14,0.5,0.5,0.5,0.5
TVY1R15,0.75,0.75,0.75,0.75
TVY1R16,0.75,0.75,0.75,0.75
TVY1R17,0.75,0.75,0.75,0.75
TVY1R18,0.5,0.75,0.75,0.625
TVY1R19,0.75,0.75,0.75,0.75
TVY1R20,0.75,0.75,0.75,0.75
TVY1R21,0.75,0.75,0.75,0.75
TVY1R22,0.75,0.75,0.75,0.75
TVY1R23,0.5,0.5,0.5,0.5
TVY1R24,0.75,0.75,0.75,0.75
TVY1V1,0.75,0.75,0.75,0.75
TVY1V2,0.5,0.5,0.5,0.5
TVY1V3,0.5,0.5,0.5,0.5
TVY1V4,0.75,0.75,0.75,0.75
TVY1V5,0.75,0.75,0.75,0.75
TVY1V6,0.5,0.5,0.5,0.5
TVY1V7,0.75,0.75,0.75,0.75
TVY1V8,0.75,0.75,0.75,0.75
TVY1V9,0.75,0.75,0.75,0.75
TVY1V10,0.5,0.5,0.5,0.5
TVY1V11,0.75,0.75,0.75,0.75
TVY1V12,0.75,0.75,0.75,0.75
TVY1V13,0.75,0.75,0.75,0.75
TVY1V14,0.75,0.75,0.75,0.75
TVY1V15,0.5,0.75,0.75,0.625
TVY1V16,0.75,0.5,0.75,0.625
TVY1V17,0.75,0.75,0.75,0.75
TVY1V18,0.75,0.75,0.75,0.75
TVY1V19,0.75,0.75,0.75,0.75
TVY1V20,0.75,0.75,0.75,0.75
TVY1V21,0.5,0.5,0.5,0.5
TVY1V22,0.75,0.75,0.75,0.75
TVY1V23,0.75,0.75,0.75,0.75
TVY1V24,0.5,0.5,0.5,0.5
