name,line,PlaceIsol,drug,RAD80,RAD50,RAD20,FoG80,FoG50,FoG20,slope,,
220120_YST6_V18_A_BA_48hr,YST6,V18,BA,4,8,10,0.21,0.41,0.36,23.4,,
220120_YST6_V18_B_BA_48hr,YST6,V18,BA,4,8,10,0.17,0.45,0.39,25.8,,
220113_YST6_V19_A_BA_48hr,YST6,V19,BA,4,7,8,0.5,0.38,0.33,32.2,,
220113_YST6_V19_B_BA_48hr,YST6,V19,BA,3,6,8,0.38,0.38,0.39,36,,
220120_YST6_V19_A_BA_48hr,YST6,V19,BA,4,7,9,0.46,0.35,0.37,29.1,,
220120_YST6_V19_B_BA_48hr,YST6,V19,BA,5,9,10,0.16,0.3,0.28,36.4,,
220113_YST6_V20_A_BA_48hr,YST6,V20,BA,3,6,8,0.48,0.4,0.42,18.9,,
220113_YST6_V20_B_BA_48hr,YST6,V20,BA,5,7,10,0.27,0.31,0.36,30.5,,
220120_YST6_V20_A_BA_48hr,YST6,V20,BA,6,9,11,0.12,0.27,0.27,36.6,,
220120_YST6_V20_B_BA_48hr,YST6,V20,BA,5,8,11,0.19,0.32,0.34,39.1,,
220113_YST6_V21_A_BA_48hr,YST6,V21,BA,2,7,8,0.36,0.53,0.35,35.1,,
220113_YST6_V21_B_BA_48hr,YST6,V21,BA,8,11,13,0.15,0.27,0.27,45.3,,
220120_YST6_V21_A_BA_48hr,YST6,V21,BA,3,7,8,0.55,0.44,0.38,30.7,,
220120_YST6_V21_B_BA_48hr,YST6,V21,BA,5,8,11,0.2,0.39,0.38,26.2,,
220113_YST6_V22_A_BA_48hr,YST6,V22,BA,5,9,10,0.17,0.32,0.28,41.5,,
220113_YST6_V22_B_BA_48hr,YST6,V22,BA,3,6,7,0.52,0.49,0.38,19.4,,
220120_YST6_V22_A_BA_48hr,YST6,V22,BA,4,6,10,0.19,0.31,0.48,18.5,,
220120_YST6_V22_B_BA_48hr,YST6,V22,BA,2,6,7,0.45,0.62,0.48,27.3,,
220113_YST6_V23_A_BA_48hr,YST6,V23,BA,2,3,5,0.5,0.44,0.54,16.7,,
220113_YST6_V23_B_BA_48hr,YST6,V23,BA,2,5,6,0.6,0.46,0.42,24.5,,
220120_YST6_V23_A_BA_48hr,YST6,V23,BA,4,7,8,0.28,0.35,0.29,35,,
220120_YST6_V23_B_BA_48hr,YST6,V23,BA,5,8,9,0.34,0.29,0.3,29.6,,
220113_YST6_V24_A_BA_48hr,YST6,V24,BA,4,6,8,0.42,0.33,0.36,18.6,,
220113_YST6_V24_B_BA_48hr,YST6,V24,BA,3,6,7,0.43,0.39,0.39,16.7,,
220120_YST6_V24_A_BA_48hr,YST6,V24,BA,5,8,11,0.15,0.31,0.34,33.7,,
220120_YST6_V24_B_BA_48hr,YST6,V24,BA,3,8,9,0.22,0.44,0.35,28.6,,
211126_YST6_V1_A_FLC_48h,YST6,V1,FLC,1,1,1,NA,NA,NA,4.2,,
211126_YST6_V1_B_FLC_48h,YST6,V1,FLC,1,1,1,NA,NA,NA,4.3,,
220113_YST6_V1_A_FLC_48hr,YST6,V1,FLC,1,1,1,NA,NA,NA,0.5,,
220113_YST6_V1_B_FLC_48hr,YST6,V1,FLC,1,1,1,NA,NA,NA,2.7,,
211126_YST6_V2_A_FLC_48h,YST6,V2,FLC,1,1,1,NA,NA,NA,3.4,,
211126_YST6_V2_B_FLC_48h,YST6,V2,FLC,1,1,1,NA,NA,NA,2.2,,
220113_YST6_V2_A_FLC_48hr,YST6,V2,FLC,1,1,1,NA,NA,NA,2.3,,
220113_YST6_V2_B_FLC_48hr,YST6,V2,FLC,1,1,1,NA,NA,NA,3.1,,
211126_YST6_V3_A_FLC_48h,YST6,V3,FLC,1,1,1,NA,NA,NA,3.9,,
211126_YST6_V3_B_FLC_48h,YST6,V3,FLC,1,1,1,NA,NA,NA,3.8,,
220113_YST6_V3_A_FLC_48hr,YST6,V3,FLC,1,1,1,NA,NA,NA,2.1,,
220113_YST6_V3_B_FLC_48hr,YST6,V3,FLC,1,1,1,NA,NA,NA,0.6,,
211126_YST6_V4_A_FLC_48h,YST6,V4,FLC,0,1,25,NA,NA,0.72,5.2,,
211126_YST6_V4_B_FLC_48h,YST6,V4,FLC,1,1,1,NA,NA,NA,4.2,,
220113_YST6_V4_A_FLC_48hr,YST6,V4,FLC,1,1,1,NA,NA,NA,0.4,,
220113_YST6_V4_B_FLC_48hr,YST6,V4,FLC,0,1,23,NA,NA,0.75,6.7,,
211126_YST6_V5_A_FLC_48h,YST6,V5,FLC,1,1,1,NA,NA,NA,4.3,,
211126_YST6_V5_B_FLC_48h,YST6,V5,FLC,1,1,1,NA,NA,NA,2.5,,
220113_YST6_V5_A_FLC_48hr,YST6,V5,FLC,1,1,1,NA,NA,NA,2.5,,
220113_YST6_V5_B_FLC_48hr,YST6,V5,FLC,0,1,21,NA,NA,0.82,6,,
211126_YST6_V6_A_FLC_48h,YST6,V6,FLC,1,1,1,NA,NA,NA,2.9,,
211126_YST6_V6_B_FLC_48h,YST6,V6,FLC,1,1,1,NA,NA,NA,4.2,,
220113_YST6_V6_A_FLC_48hr,YST6,V6,FLC,1,1,1,NA,NA,NA,1,,
220113_YST6_V6_B_FLC_48hr,YST6,V6,FLC,1,1,1,NA,NA,NA,3.9,,
211209_YST6_V7_A_FLC_48hr,YST6,V7,FLC,1,1,1,NA,NA,NA,3.4,,
211209_YST6_V7_B_FLC_48hr,YST6,V7,FLC,1,1,1,NA,NA,NA,3.3,,
220113_YST6_V7_A_FLC_48hr,YST6,V7,FLC,1,1,1,NA,NA,NA,4.1,,
220113_YST6_V7_B_FLC_48hr,YST6,V7,FLC,1,1,1,NA,NA,NA,1.9,,
211209_YST6_V7._A_FLC_48hr,YST6,V7.,FLC,1,1,1,NA,NA,NA,3.5,,
211209_YST6_V8_A_FLC_48hr,YST6,V8,FLC,1,1,1,NA,NA,NA,4.3,,
211209_YST6_V8_B_FLC_48hr,YST6,V8,FLC,1,1,1,NA,NA,NA,3,,
220113_YST6_V8_A_FLC_48hr,YST6,V8,FLC,1,1,1,NA,NA,NA,0,,
220113_YST6_V8_B_FLC_48hr,YST6,V8,FLC,1,1,1,NA,NA,NA,2,,
211209_YST6_V9_A_FLC_48hr,YST6,V9,FLC,1,1,1,NA,NA,NA,2,,
211209_YST6_V9_B_FLC_48hr,YST6,V9,FLC,1,1,1,NA,NA,NA,2.5,,
220113_YST6_V9_A_FLC_48hr,YST6,V9,FLC,1,1,1,NA,NA,NA,2.5,,
220113_YST6_V9_B_FLC_48hr,YST6,V9,FLC,1,1,1,NA,NA,NA,1.4,,
211209_YST6_V10_A_FLC_48hr,YST6,V10,FLC,1,1,1,NA,NA,NA,0.4,,
211209_YST6_V10_B_FLC_48hr,YST6,V10,FLC,1,1,1,NA,NA,NA,0.7,,
220113_YST6_V10_A_FLC_48hr,YST6,V10,FLC,1,1,1,NA,NA,NA,1.4,,
220113_YST6_V10_B_FLC_48hr,YST6,V10,FLC,1,1,1,NA,NA,NA,1.9,,
211209_YST6_V11_A_FLC_48hr,YST6,V11,FLC,0,1,22,NA,NA,0.75,5.4,,
211209_YST6_V11_B_FLC_48hr,YST6,V11,FLC,0,1,23,NA,NA,0.79,5.2,,
220113_YST6_V11_A_FLC_48hr,YST6,V11,FLC,1,1,1,NA,NA,NA,0.4,,
220113_YST6_V11_B_FLC_48hr,YST6,V11,FLC,1,1,1,NA,NA,NA,0.6,,
211209_YST6_V12_A_FLC_48hr,YST6,V12,FLC,1,1,1,NA,NA,NA,2.6,,
211209_YST6_V12_B_FLC_48hr,YST6,V12,FLC,1,1,1,NA,NA,NA,2.3,,
220113_YST6_V12_A_FLC_48hr,YST6,V12,FLC,1,1,1,NA,NA,NA,3.5,,
220113_YST6_V12_B_FLC_48hr,YST6,V12,FLC,1,1,1,NA,NA,NA,1.2,,
211216_YST6_V13_A_FLC_48hr,YST6,V13,FLC,1,1,1,NA,NA,NA,0.9,,
211216_YST6_V13_B_FLC_48hr,YST6,V13,FLC,1,1,1,NA,NA,NA,1.4,,
220120_YST6_V13_A_FLC_48hr,YST6,V13,FLC,1,1,1,NA,NA,NA,3.9,,
220120_YST6_V13_B_FLC_48hr,YST6,V13,FLC,1,1,1,NA,NA,NA,0.3,,
211216_YST6_V14_A_FLC_48hr,YST6,V14,FLC,1,1,1,NA,NA,NA,0.5,,
211216_YST6_V14_B_FLC_48hr,YST6,V14,FLC,1,1,1,NA,NA,NA,4.2,,
220120_YST6_V14_A_FLC_48hr,YST6,V14,FLC,1,1,1,NA,NA,NA,3.9,,
220120_YST6_V14_B_FLC_48hr,YST6,V14,FLC,1,1,1,NA,NA,NA,1.5,,
211216_YST6_V15_A_FLC_48hr,YST6,V15,FLC,1,1,1,NA,NA,NA,4.8,,
211216_YST6_V15_B_FLC_48hr,YST6,V15,FLC,0,1,22,NA,NA,0.63,12.1,,
220120_YST6_V15_A_FLC_48hr,YST6,V15,FLC,1,1,1,NA,NA,NA,1.1,,
220120_YST6_V15_B_FLC_48hr,YST6,V15,FLC,1,1,1,NA,NA,NA,0.3,,
211216_YST6_V16_A_FLC_48hr,YST6,V16,FLC,0,1,21,NA,NA,0.73,6.9,,
211216_YST6_V16_B_FLC_48hr,YST6,V16,FLC,1,1,1,NA,NA,NA,4,,
220120_YST6_V16_A_FLC_48hr,YST6,V16,FLC,1,1,1,NA,NA,NA,4.4,,
220120_YST6_V16_B_FLC_48hr,YST6,V16,FLC,1,1,1,NA,NA,NA,3.3,,
211216_YST6_V17_A_FLC_48hr,YST6,V17,FLC,0,1,19,NA,NA,0.76,6.8,,
211216_YST6_V17_B_FLC_48hr,YST6,V17,FLC,2,1,23,0.64,NA,0.52,14.9,,
220120_YST6_V17_A_FLC_48hr,YST6,V17,FLC,1,1,1,NA,NA,NA,0,,
220120_YST6_V17_B_FLC_48hr,YST6,V17,FLC,1,1,1,NA,NA,NA,4.6,,
211216_YST6_V18_A_FLC_48hr,YST6,V18,FLC,1,1,1,NA,NA,NA,4.2,,
211216_YST6_V18_B_FLC_48hr,YST6,V18,FLC,1,1,1,NA,NA,NA,3.4,,
220120_YST6_V18_A_FLC_48hr,YST6,V18,FLC,1,1,1,NA,NA,NA,1.2,,
220120_YST6_V18_B_FLC_48hr,YST6,V18,FLC,1,1,1,NA,NA,NA,4.6,,
220113_YST6_V19_A_FLC_48hr,YST6,V19,FLC,1,1,1,NA,NA,NA,2.3,,
220113_YST6_V19_B_FLC_48hr,YST6,V19,FLC,1,1,1,NA,NA,NA,1.3,,
220120_YST6_V19_A_FLC_48hr,YST6,V19,FLC,1,1,1,NA,NA,NA,2.5,,
220120_YST6_V19_B_FLC_48hr,YST6,V19,FLC,0,1,18,NA,NA,0.82,5.1,,
220113_YST6_V20_A_FLC_48hr,YST6,V20,FLC,1,1,1,NA,NA,NA,1.5,,
220113_YST6_V20_B_FLC_48hr,YST6,V20,FLC,0,1,20,NA,NA,0.81,5.3,,
220120_YST6_V20_A_FLC_48hr,YST6,V20,FLC,1,1,1,NA,NA,NA,0,,
220120_YST6_V20_B_FLC_48hr,YST6,V20,FLC,1,1,1,NA,NA,NA,0.4,,
220113_YST6_V21_A_FLC_48hr,YST6,V21,FLC,1,1,1,NA,NA,NA,3.2,,
220113_YST6_V21_B_FLC_48hr,YST6,V21,FLC,1,1,1,NA,NA,NA,3.5,,
220120_YST6_V21_A_FLC_48hr,YST6,V21,FLC,1,1,1,NA,NA,NA,0.4,,
220120_YST6_V21_B_FLC_48hr,YST6,V21,FLC,1,1,1,NA,NA,NA,1.2,,
220113_YST6_V22_A_FLC_48hr,YST6,V22,FLC,1,1,1,NA,NA,NA,1.9,,
220113_YST6_V22_B_FLC_48hr,YST6,V22,FLC,1,1,1,NA,NA,NA,1.4,,
220120_YST6_V22_A_FLC_48hr,YST6,V22,FLC,1,1,1,NA,NA,NA,1.5,,
220120_YST6_V22_B_FLC_48hr,YST6,V22,FLC,1,1,1,NA,NA,NA,1.8,,
220113_YST6_V23_A_FLC_48hr,YST6,V23,FLC,1,1,1,NA,NA,NA,3.1,,
220113_YST6_V23_B_FLC_48hr,YST6,V23,FLC,1,1,1,NA,NA,NA,0.7,,
220120_YST6_V23_A_FLC_48hr,YST6,V23,FLC,1,1,1,NA,NA,NA,1,,
220120_YST6_V23_B_FLC_48hr,YST6,V23,FLC,1,1,1,NA,NA,NA,1.9,,
220113_YST6_V24_A_FLC_48hr,YST6,V24,FLC,1,1,1,NA,NA,NA,5,,
220113_YST6_V24_B_FLC_48hr,YST6,V24,FLC,1,1,1,NA,NA,NA,1.5,,
220120_YST6_V24_A_FLC_48hr,YST6,V24,FLC,1,1,1,NA,NA,NA,1.9,,
220120_YST6_V24_B_FLC_48hr,YST6,V24,FLC,1,1,1,NA,NA,NA,3.1,,
211126_YST7_R1_A_BA_48h,YST7,R1,BA,9,10,12,0.08,0.13,0.2,74.4,,
211126_YST7_R1_B_BA_48h,YST7,R1,BA,8,10,11,0.08,0.13,0.17,88,,
220113_YST7_R1_A_BA_48hr,YST7,R1,BA,7,8,11,0.09,0.13,0.3,61.9,,
220113_YST7_R1_B_BA_48hr,YST7,R1,BA,5,6,7,0.09,0.13,0.2,62.6,,
211126_YST7_R2_A_BA_48h,YST7,R2,BA,9,10,14,0.07,0.11,0.31,63.3,,
211126_YST7_R2_B_BA_48h,YST7,R2,BA,10,11,12,0.06,0.07,0.11,76.3,,
220113_YST7_R2_A_BA_48hr,YST7,R2,BA,9,9,11,0.1,0.09,0.19,82.6,,
220113_YST7_R2_B_BA_48hr,YST7,R2,BA,8,9,11,0.08,0.1,0.19,87.2,,
211126_YST7_R3_A_BA_48h,YST7,R3,BA,8,9,11,0.12,0.12,0.2,87,,
211126_YST7_R3_B_BA_48h,YST7,R3,BA,9,10,11,0.11,0.13,0.17,80.1,,
220113_YST7_R3_A_BA_48hr,YST7,R3,BA,7,8,9,0.13,0.17,0.22,73.7,,
220113_YST7_R3_B_BA_48hr,YST7,R3,BA,8,10,12,0.13,0.18,0.26,66.3,,
211126_YST7_R4_A_BA_48h,YST7,R4,BA,0,1,19,NA,NA,0.82,11.3,,
211126_YST7_R4_B_BA_48h,YST7,R4,BA,8,10,12,0.05,0.14,0.23,66,,
220113_YST7_R4_A_BA_48hr,YST7,R4,BA,7,8,10,0.12,0.14,0.23,63.8,,
220113_YST7_R4_B_BA_48hr,YST7,R4,BA,6,7,9,0.16,0.18,0.3,60.9,,
211126_YST7_R5_A_BA_48h,YST7,R5,BA,9,10,11,0.09,0.13,0.17,73.4,,
211126_YST7_R5_B_BA_48h,YST7,R5,BA,9,10,21,0.11,0.13,0.48,30.5,,
220113_YST7_R5_A_BA_48hr,YST7,R5,BA,7,8,10,0.1,0.1,0.21,59.4,,
220113_YST7_R5_B_BA_48hr,YST7,R5,BA,7,8,9,0.13,0.16,0.2,66.9,,
211126_YST7_R6_A_BA_48h,YST7,R6,BA,8,8,10,0.11,0.1,0.2,74.5,,
220113_YST7_R6_A_BA_48hr,YST7,R6,BA,6,7,8,0.13,0.17,0.22,54.4,,
220113_YST7_R6_B_BA_48hr,YST7,R6,BA,6,7,8,0.12,0.2,0.22,52.4,,
211209_YST7_R7_A_BA_48hr,YST7,R7,BA,6,6,8,0.09,0.08,0.23,89.8,,
211209_YST7_R7_B_BA_48hr,YST7,R7,BA,8,9,11,0.05,0.08,0.2,96.5,,
220113_YST7_R7_A_BA_48hr,YST7,R7,BA,8,8,10,0.1,0.09,0.2,67.9,,
211209_YST7_R8_A_BA_48hr,YST7,R8,BA,8,9,11,0.08,0.09,0.2,93.6,,
211209_YST7_R8_B_BA_48hr,YST7,R8,BA,7,8,9,0.1,0.12,0.16,78.2,,
220113_YST7_R8_A_BA_48hr,YST7,R8,BA,8,9,10,0.08,0.11,0.16,55.6,,
220113_YST7_R8_B_BA_48hr,YST7,R8,BA,6,7,9,0.12,0.17,0.33,49.5,,
211209_YST7_R9_A_BA_48hr,YST7,R9,BA,7,9,10,0.05,0.16,0.18,80.1,,
211209_YST7_R9_B_BA_48hr,YST7,R9,BA,8,9,10,0.08,0.11,0.14,64.9,,
220113_YST7_R9_A_BA_48hr,YST7,R9,BA,5,6,7,0.14,0.16,0.21,70.1,,
220113_YST7_R9_B_BA_48hr,YST7,R9,BA,9,10,12,0.06,0.06,0.17,78.6,,
211209_YST7_R10_A_BA_48hr,YST7,R10,BA,8,9,10,0.09,0.13,0.18,81.1,,
211209_YST7_R10_B_BA_48hr,YST7,R10,BA,7,8,9,0.13,0.16,0.2,72.9,,
220113_YST7_R10_A_BA_48hr,YST7,R10,BA,8,9,10,0.08,0.09,0.13,91.4,,
220113_YST7_R10_B_BA_48hr,YST7,R10,BA,6,7,8,0.09,0.13,0.18,69.1,,
211209_YST7_R11_A_BA_48hr,YST7,R11,BA,9,10,11,0.08,0.11,0.15,89.6,,
211209_YST7_R11_B_BA_48hr,YST7,R11,BA,7,8,10,0.11,0.12,0.23,70.6,,
220113_YST7_R11_A_BA_48hr,YST7,R11,BA,5,6,9,0.1,0.1,0.33,49.3,,
220113_YST7_R11_B_BA_48hr,YST7,R11,BA,9,10,12,0.09,0.11,0.22,72.1,,
211209_YST7_R12_A_BA_48hr,YST7,R12,BA,8,9,10,0.09,0.12,0.18,80.4,,
211209_YST7_R12_B_BA_48hr,YST7,R12,BA,7,9,11,0.13,0.19,0.25,63.4,,
220113_YST7_R12_A_BA_48hr,YST7,R12,BA,8,9,17,0.12,0.15,0.49,37.9,,
220113_YST7_R12_B_BA_48hr,YST7,R12,BA,8,9,12,0.08,0.11,0.28,53.9,,
211216_YST7_R13_A_BA_48hr,YST7,R13,BA,8,9,14,0.09,0.11,0.37,51.8,,
211216_YST7_R13_B_BA_48hr,YST7,R13,BA,7,8,9,0.11,0.13,0.19,84,,
220120_YST7_R13_A_BA_48hr,YST7,R13,BA,8,10,11,0.08,0.13,0.17,74.4,,
220120_YST7_R13_B_BA_48hr,YST7,R13,BA,7,8,10,0.09,0.1,0.22,75.1,,
211216_YST7_R14_A_BA_48hr,YST7,R14,BA,8,9,13,0.08,0.12,0.34,58.7,,
211216_YST7_R14_B_BA_48hr,YST7,R14,BA,8,9,15,0.1,0.12,0.4,49.1,,
220120_YST7_R14_A_BA_48hr,YST7,R14,BA,8,10,16,0.1,0.13,0.41,51.4,,
220120_YST7_R14_B_BA_48hr,YST7,R14,BA,1,3,6,NA,0.52,0.63,13.3,,
211216_YST7_R15_A_BA_48hr,YST7,R15,BA,9,10,11,0.09,0.12,0.16,74.3,,
211216_YST7_R15_B_BA_48hr,YST7,R15,BA,7,9,13,0.1,0.17,0.38,56.8,,
220120_YST7_R15_A_BA_48hr,YST7,R15,BA,7,8,10,0.1,0.13,0.24,49.7,,
220120_YST7_R15_B_BA_48hr,YST7,R15,BA,0,1,4,NA,NA,0.44,14.3,,
211216_YST7_R16_A_BA_48hr,YST7,R16,BA,8,9,12,0.11,0.15,0.3,52.7,,
211216_YST7_R16_B_BA_48hr,YST7,R16,BA,8,9,11,0.09,0.11,0.21,73.8,,
220120_YST7_R16_A_BA_48hr,YST7,R16,BA,6,7,9,0.14,0.19,0.3,37.8,,
220120_YST7_R16_B_BA_48hr,YST7,R16,BA,9,10,13,0.1,0.1,0.25,54.9,,
211216_YST7_R17_A_BA_48hr,YST7,R17,BA,7,8,10,0.09,0.1,0.22,78.8,,
211216_YST7_R17_B_BA_48hr,YST7,R17,BA,6,6,7,0.12,0.1,0.16,85.1,,
220120_YST7_R17_A_BA_48hr,YST7,R17,BA,8,10,13,0.11,0.17,0.3,49.5,,
220120_YST7_R17_B_BA_48hr,YST7,R17,BA,8,9,13,0.1,0.12,0.29,42.6,,
211216_YST7_R18_A_BA_48hr,YST7,R18,BA,6,6,7,0.14,0.12,0.16,84.7,,
211216_YST7_R18_B_BA_48hr,YST7,R18,BA,6,7,8,0.1,0.14,0.21,84.1,,
220120_YST7_R18_A_BA_48hr,YST7,R18,BA,9,10,13,0.09,0.12,0.26,56.2,,
220120_YST7_R18_B_BA_48hr,YST7,R18,BA,7,8,12,0.13,0.16,0.35,41.8,,
220113_YST7_R19_A_BA_48hr,YST7,R19,BA,6,7,9,0.12,0.14,0.26,85.2,,
220113_YST7_R19_B_BA_48hr,YST7,R19,BA,7,8,9,0.11,0.14,0.2,76.6,,
220120_YST7_R19_A_BA_48hr,YST7,R19,BA,8,11,13,0.15,0.19,0.27,40.7,,
220120_YST7_R19_B_BA_48hr,YST7,R19,BA,6,9,11,0.1,0.24,0.25,33,,
220113_YST7_R20_A_BA_48hr,YST7,R20,BA,6,7,8,0.1,0.15,0.18,82.5,,
220113_YST7_R20_B_BA_48hr,YST7,R20,BA,8,9,10,0.09,0.1,0.14,79.1,,
220120_YST7_R20_A_BA_48hr,YST7,R20,BA,7,9,12,0.1,0.2,0.31,42.9,,
220120_YST7_R20_B_BA_48hr,YST7,R20,BA,9,10,12,0.09,0.12,0.22,58.6,,
220113_YST7_R21_A_BA_48hr,YST7,R21,BA,7,7,8,0.11,0.1,0.14,75.3,,
220113_YST7_R21_B_BA_48hr,YST7,R21,BA,6,7,8,0.11,0.1,0.15,84.2,,
220120_YST7_R21_A_BA_48hr,YST7,R21,BA,8,9,23,0.1,0.13,0.57,32.5,,
220120_YST7_R21_B_BA_48hr,YST7,R21,BA,9,10,12,0.07,0.12,0.2,66.6,,
220113_YST7_R22_A_BA_48hr,YST7,R22,BA,7,8,9,0.11,0.16,0.19,88.7,,
220113_YST7_R22_B_BA_48hr,YST7,R22,BA,8,9,12,0.08,0.09,0.25,75,,
220120_YST7_R22_B_BA_48hr,YST7,R22,BA,4,5,6,0.34,0.23,0.28,18.7,,
220113_YST7_R23_A_BA_48hr,YST7,R23,BA,7,8,10,0.08,0.1,0.24,63.3,,
220113_YST7_R23_B_BA_48hr,YST7,R23,BA,6,7,8,0.12,0.16,0.21,63,,
220120_YST7_R23_A_BA_48hr,YST7,R23,BA,7,9,10,0.51,0.24,0.26,60.3,,
220120_YST7_R23_B_BA_48hr,YST7,R23,BA,4,5,6,0.19,0.2,0.22,27.1,,
220113_YST7_R24_A_BA_48hr,YST7,R24,BA,9,11,13,0.12,0.14,0.23,73.1,,
220113_YST7_R24_B_BA_48hr,YST7,R24,BA,6,7,9,0.09,0.12,0.24,65,,
220120_YST7_R24_A_BA_48hr,YST7,R24,BA,10,11,12,0.07,0.11,0.13,82.6,,
220120_YST7_R24_B_BA_48hr,YST7,R24,BA,8,9,11,0.07,0.09,0.18,77.7,,
211126_YST7_R1_A_FLC_48h,YST7,R1,FLC,7,9,12,0.14,0.23,0.3,50.9,,
211126_YST7_R1_B_FLC_48h,YST7,R1,FLC,6,9,14,0.17,0.37,0.4,32.4,,
220113_YST7_R1_A_FLC_48hr,YST7,R1,FLC,7,9,12,0.12,0.19,0.32,66.4,,
220113_YST7_R1_B_FLC_48hr,YST7,R1,FLC,7,8,12,0.14,0.15,0.31,63.2,,
211126_YST7_R2_A_FLC_48h,YST7,R2,FLC,6,11,17,0.29,0.4,0.44,42,,
211126_YST7_R2_B_FLC_48h,YST7,R2,FLC,6,10,15,0.47,0.41,0.43,38.2,,
220113_YST7_R2_A_FLC_48hr,YST7,R2,FLC,7,9,12,0.15,0.18,0.27,72.4,,
220113_YST7_R2_B_FLC_48hr,YST7,R2,FLC,8,9,13,0.13,0.17,0.32,62.9,,
211126_YST7_R3_A_FLC_48h,YST7,R3,FLC,6,12,16,0.3,0.43,0.4,38.2,,
211126_YST7_R3_B_FLC_48h,YST7,R3,FLC,5,9,11,0.27,0.4,0.36,45.3,,
211126_YST7_R3_B'_FLC_48h,YST7,R3,FLC,5,9,11,0.28,0.41,0.34,49.4,,
220113_YST7_R3_A_FLC_48hr,YST7,R3,FLC,8,9,12,0.17,0.18,0.3,65.1,,
220113_YST7_R3_B_FLC_48hr,YST7,R3,FLC,9,11,14,0.18,0.23,0.28,77.7,,
211126_YST7_R4_A_FLC_48h,YST7,R4,FLC,5,8,13,0.32,0.38,0.43,37.6,,
211126_YST7_R4_B_FLC_48h,YST7,R4,FLC,4,9,11,0.2,0.46,0.38,43.4,,
220113_YST7_R4_A_FLC_48hr,YST7,R4,FLC,8,10,12,0.15,0.17,0.23,68.3,,
220113_YST7_R4_B_FLC_48hr,YST7,R4,FLC,8,10,14,0.15,0.18,0.32,48.4,,
211126_YST7_R5_A_FLC_48h,YST7,R5,FLC,6,9,14,0.09,0.27,0.38,45.1,,
211126_YST7_R5_B_FLC_48h,YST7,R5,FLC,5,11,13,0.28,0.48,0.38,38.6,,
220113_YST7_R5_A_FLC_48hr,YST7,R5,FLC,8,10,13,0.15,0.21,0.28,70.5,,
220113_YST7_R5_B_FLC_48hr,YST7,R5,FLC,7,8,12,0.08,0.12,0.29,61,,
220113_YST7_R6_A_FLC_48hr,YST7,R6,FLC,7,8,11,0.15,0.19,0.32,54.3,,
220113_YST7_R6_B_FLC_48hr,YST7,R6,FLC,8,10,12,0.11,0.22,0.23,57.5,,
211209_YST7_R7_A_FLC_48hr,YST7,R7,FLC,5,6,10,0.18,0.23,0.44,43.2,,
211209_YST7_R7_B_FLC_48hr,YST7,R7,FLC,5,9,11,0.22,0.41,0.37,41.5,,
220113_YST7_R7_A_FLC_48hr,YST7,R7,FLC,8,10,13,0.17,0.25,0.31,59.6,,
220113_YST7_R7_B_FLC_48hr,YST7,R7,FLC,8,11,14,0.14,0.23,0.27,74.2,,
211209_YST7_R8_A_FLC_48hr,YST7,R8,FLC,6,9,13,0.17,0.29,0.36,44.6,,
211209_YST7_R8_B_FLC_48hr,YST7,R8,FLC,6,10,14,0.12,0.34,0.36,48.5,,
220113_YST7_R8_A_FLC_48hr,YST7,R8,FLC,8,11,15,0.14,0.25,0.32,55.4,,
220113_YST7_R8_B_FLC_48hr,YST7,R8,FLC,8,9,14,0.08,0.14,0.32,47,,
211209_YST7_R9_A_FLC_48hr,YST7,R9,FLC,6,9,12,0.21,0.31,0.35,46.9,,
211209_YST7_R9_B_FLC_48hr,YST7,R9,FLC,6,9,12,0.18,0.32,0.33,41.4,,
220113_YST7_R9_A_FLC_48hr,YST7,R9,FLC,8,10,13,0.16,0.26,0.3,48.6,,
220113_YST7_R9_B_FLC_48hr,YST7,R9,FLC,8,9,14,0.15,0.14,0.33,51.8,,
211209_YST7_R10_A_FLC_48hr,YST7,R10,FLC,6,9,14,0.12,0.27,0.37,41,,
211209_YST7_R10_B_FLC_48hr,YST7,R10,FLC,6,8,13,0.22,0.26,0.4,45.5,,
220113_YST7_R10_A_FLC_48hr,YST7,R10,FLC,6,8,10,0.17,0.24,0.28,66.1,,
220113_YST7_R10_B_FLC_48hr,YST7,R10,FLC,7,9,12,0.17,0.23,0.3,63.5,,
211209_YST7_R11_A_FLC_48hr,YST7,R11,FLC,7,12,14,0.16,0.39,0.34,45.9,,
211209_YST7_R11_B_FLC_48hr,YST7,R11,FLC,6,9,14,0.16,0.29,0.38,37.8,,
220113_YST7_R11_A_FLC_48hr,YST7,R11,FLC,8,10,13,0.15,0.2,0.29,70.3,,
220113_YST7_R11_B_FLC_48hr,YST7,R11,FLC,7,8,11,0.13,0.16,0.28,60.7,,
211209_YST7_R12_A_FLC_48hr,YST7,R12,FLC,6,12,14,0.15,0.38,0.33,37.1,,
211209_YST7_R12_B_FLC_48hr,YST7,R12,FLC,6,8,15,0.12,0.26,0.42,21.9,,
220113_YST7_R12_A_FLC_48hr,YST7,R12,FLC,8,10,14,0.11,0.2,0.31,56,,
220113_YST7_R12_B_FLC_48hr,YST7,R12,FLC,8,11,13,0.14,0.24,0.26,64.1,,
211216_YST7_R13_A_FLC_48hr,YST7,R13,FLC,7,9,13,0.14,0.25,0.33,53.6,,
