name,line,PlaceIsol,drug,RAD80,RAD50,RAD20,FoG80,FoG50,FoG20,slope,,
220120_YST6_R15_B_BA_48hr,YST6,R15,BA,5,9,11,0.13,0.41,0.36,22.1,,
211216_YST6_R16_A_BA_48hr,YST6,R16,BA,5,9,11,0.22,0.36,0.31,37.4,,
211216_YST6_R16_B_BA_48hr,YST6,R16,BA,7,10,11,0.18,0.24,0.21,41.9,,
220120_YST6_R16_A_BA_48hr,YST6,R16,BA,5,9,11,0.15,0.4,0.35,31.2,,
220120_YST6_R16_B_BA_48hr,YST6,R16,BA,4,6,8,0.93,0.44,0.44,13.7,,
211216_YST6_R17_A_BA_48hr,YST6,R17,BA,7,11,13,0.13,0.28,0.3,28.8,,
211216_YST6_R17_B_BA_48hr,YST6,R17,BA,6,9,11,0.16,0.32,0.3,33.8,,
220120_YST6_R17_A_BA_48hr,YST6,R17,BA,5,9,10,0.16,0.36,0.3,28.9,,
220120_YST6_R17_B_BA_48hr,YST6,R17,BA,5,7,11,0.12,0.23,0.41,25.7,,
211216_YST6_R18_A_BA_48hr,YST6,R18,BA,4,8,10,0.2,0.41,0.36,30.2,,
211216_YST6_R18_B_BA_48hr,YST6,R18,BA,3,8,9,0.3,0.46,0.34,30.6,,
220120_YST6_R18_A_BA_48hr,YST6,R18,BA,7,8,11,0.11,0.17,0.28,44.7,,
220120_YST6_R18_B_BA_48hr,YST6,R18,BA,6,8,11,0.1,0.2,0.3,36.3,,
220120_YST6_R19_A_BA_48hr,YST6,R19,BA,6,9,10,0.24,0.25,0.24,39.9,,
220120_YST6_R19_A1_BA_48hr,YST6,R19,BA,6,7,11,0.11,0.17,0.34,35.6,,
220120_YST6_R19_B_BA_48hr,YST6,R19,BA,4,8,9,0.28,0.38,0.33,28.3,,
220120_YST6_R19_B1_BA_48hr,YST6,R19,BA,5,9,10,0.13,0.36,0.3,26.3,,
220120_YST6_R20_A_BA_48hr,YST6,R20,BA,4,8,10,0.23,0.34,0.35,26.6,,
220120_YST6_R20_A1_BA_48hr,YST6,R20,BA,7,10,12,0.1,0.27,0.27,36.2,,
220120_YST6_R20_B_BA_48hr,YST6,R20,BA,6,8,11,0.13,0.25,0.31,37.2,,
220120_YST6_R20_B1_BA_48hr,YST6,R20,BA,5,8,11,0.09,0.28,0.33,29.9,,
220120_YST6_R21_A_BA_48hr,YST6,R21,BA,7,10,11,0.12,0.24,0.24,41.9,,
220120_YST6_R21_A1_BA_48hr,YST6,R21,BA,3,8,10,0.22,0.41,0.37,21.6,,
220120_YST6_R21_B_BA_48hr,YST6,R21,BA,7,9,12,0.12,0.22,0.28,36.2,,
220120_YST6_R21_B1_BA_48hr,YST6,R21,BA,7,8,11,0.1,0.16,0.28,38.1,,
220120_YST6_R22_A_BA_48hr,YST6,R22,BA,3,8,9,0.24,0.4,0.34,22.2,,
220120_YST6_R22_A1_BA_48hr,YST6,R22,BA,8,11,13,0.09,0.28,0.27,34.2,,
220120_YST6_R22_B_BA_48hr,YST6,R22,BA,5,8,11,0.16,0.34,0.36,25.8,,
220120_YST6_R22_B1_BA_48hr,YST6,R22,BA,7,10,14,0.09,0.24,0.34,27.5,,
220120_YST6_R23_A_BA_48hr,YST6,R23,BA,6,8,12,0.12,0.22,0.34,23.4,,
220120_YST6_R23_A1_BA_48hr,YST6,R23,BA,4,8,10,0.22,0.34,0.34,20.9,,
220120_YST6_R23_B_BA_48hr,YST6,R23,BA,5,8,10,0.17,0.31,0.33,25.5,,
220120_YST6_R23_B1_BA_48hr,YST6,R23,BA,5,8,12,0.19,0.32,0.39,24.2,,
220120_YST6_R24_A_BA_48hr,YST6,R24,BA,3,8,10,0.2,0.45,0.44,16.3,,
220120_YST6_R24_A1_BA_48hr,YST6,R24,BA,3,8,11,0.25,0.37,0.44,16.4,,
220120_YST6_R24_B_BA_48hr,YST6,R24,BA,5,7,9,0.14,0.26,0.31,38,,
220120_YST6_R24_B1_BA_48hr,YST6,R24,BA,4,7,9,0.13,0.32,0.32,20.1,,
211126_YST6_R1_A_FLC_48h,YST6,R1,FLC,1,1,1,NA,NA,NA,4.5,,
211126_YST6_R1_B_FLC_48h,YST6,R1,FLC,1,1,1,NA,NA,NA,3.5,,
220113_YST6_R1_A_FLC_48hr,YST6,R1,FLC,1,1,1,NA,NA,NA,1.8,,
220113_YST6_R1_B_FLC_48hr,YST6,R1,FLC,1,1,1,NA,NA,NA,1.4,,
211126_YST6_R2_A_FLC_48h,YST6,R2,FLC,1,1,1,NA,NA,NA,1.8,,
211126_YST6_R2_A'_FLC_48h,YST6,R2,FLC,1,1,1,NA,NA,NA,2.6,,
211126_YST6_R2_B_FLC_48h,YST6,R2,FLC,1,1,1,NA,NA,NA,2.8,,
220113_YST6_R2_A_FLC_48hr,YST6,R2,FLC,1,1,1,NA,NA,NA,2.7,,
220113_YST6_R2_B_FLC_48hr,YST6,R2,FLC,0,1,23,NA,NA,0.75,6.4,,
211126_YST6_R3_A_FLC_48h,YST6,R3,FLC,1,1,1,NA,NA,NA,2.3,,
211126_YST6_R3_B_FLC_48h,YST6,R3,FLC,0,1,16,NA,NA,0.83,5.7,,
220113_YST6_R3_A_FLC_48hr,YST6,R3,FLC,1,1,1,NA,NA,NA,1.1,,
211126_YST6_R4_A_FLC_48h,YST6,R4,FLC,1,1,1,NA,NA,NA,3.8,,
211126_YST6_R4_B_FLC_48h,YST6,R4,FLC,1,1,1,NA,NA,NA,4.2,,
220113_YST6_R4_A_FLC_48hr,YST6,R4,FLC,1,1,1,NA,NA,NA,1.9,,
220113_YST6_R4_B_FLC_48hr,YST6,R4,FLC,0,1,25,NA,NA,0.83,5.5,,
211126_YST6_R5_A_FLC_48h,YST6,R5,FLC,0,1,10,NA,NA,0.85,5.3,,
211126_YST6_R5_A'_FLC_48h,YST6,R5,FLC,0,1,9,NA,NA,0.84,5.2,,
211126_YST6_R5_B_FLC_48h,YST6,R5,FLC,1,1,1,NA,NA,NA,2.3,,
220113_YST6_R5_A_FLC_48hr,YST6,R5,FLC,1,1,1,NA,NA,NA,4.6,,
220113_YST6_R5_B_FLC_48hr,YST6,R5,FLC,0,1,23,NA,NA,0.8,5.5,,
211126_YST6_R6_A_FLC_48h,YST6,R6,FLC,1,1,1,NA,NA,NA,4.1,,
211126_YST6_R6_B_FLC_48h,YST6,R6,FLC,1,1,1,NA,NA,NA,2.8,,
220113_YST6_R6_A_FLC_48hr,YST6,R6,FLC,1,1,1,NA,NA,NA,2.1,,
220113_YST6_R6_B_FLC_48hr,YST6,R6,FLC,1,1,1,NA,NA,NA,3.4,,
211209_YST6_R7_A_FLC_48hr,YST6,R7,FLC,1,1,1,NA,NA,NA,3.3,,
211209_YST6_R7_B_FLC_48hr,YST6,R7,FLC,1,1,1,NA,NA,NA,3.3,,
220113_YST6_R7_A_FLC_48hr,YST6,R7,FLC,1,1,1,NA,NA,NA,3,,
220113_YST6_R7_B_FLC_48hr,YST6,R7,FLC,1,1,1,NA,NA,NA,3.6,,
211209_YST6_R8_A_FLC_48hr,YST6,R8,FLC,0,1,21,NA,NA,0.81,6.2,,
211209_YST6_R8_B_FLC_48hr,YST6,R8,FLC,1,1,1,NA,NA,NA,3.2,,
220113_YST6_R8_A_FLC_48hr,YST6,R8,FLC,0,1,14,NA,NA,0.89,5.7,,
220113_YST6_R8_B_FLC_48hr,YST6,R8,FLC,1,1,1,NA,NA,NA,2.5,,
211209_YST6_R9_A_FLC_48hr,YST6,R9,FLC,1,1,1,NA,NA,NA,4,,
211209_YST6_R9_B_FLC_48hr,YST6,R9,FLC,1,1,1,NA,NA,NA,2.2,,
220113_YST6_R9_A_FLC_48hr,YST6,R9,FLC,1,1,1,NA,NA,NA,2.9,,
220113_YST6_R9_B_FLC_48hr,YST6,R9,FLC,1,1,1,NA,NA,NA,2.1,,
211209_YST6_R10_A_FLC_48hr,YST6,R10,FLC,1,1,1,NA,NA,NA,0.3,,
211209_YST6_R10_B_FLC_48hr,YST6,R10,FLC,1,1,1,NA,NA,NA,3.2,,
220113_YST6_R10_A_FLC_48hr,YST6,R10,FLC,1,1,1,NA,NA,NA,1.6,,
220113_YST6_R10_B_FLC_48hr,YST6,R10,FLC,1,1,1,NA,NA,NA,1.2,,
211209_YST6_R11_A_FLC_48hr,YST6,R11,FLC,1,1,1,NA,NA,NA,3.2,,
211209_YST6_R11_B_FLC_48hr,YST6,R11,FLC,1,1,1,NA,NA,NA,3.6,,
220113_YST6_R11_A_FLC_48hr,YST6,R11,FLC,1,1,1,NA,NA,NA,0.2,,
220113_YST6_R11_B_FLC_48hr,YST6,R11,FLC,1,1,1,NA,NA,NA,2.5,,
211209_YST6_R12_A_FLC_48hr,YST6,R12,FLC,0,1,23,NA,NA,0.8,5.3,,
211209_YST6_R12_B_FLC_48hr,YST6,R12,FLC,1,1,1,NA,NA,NA,3.4,,
220113_YST6_R12_A_FLC_48hr,YST6,R12,FLC,1,1,1,NA,NA,NA,3.9,,
220113_YST6_R12_B_FLC_48hr,YST6,R12,FLC,1,1,1,NA,NA,NA,2.2,,
211216_YST6_R13_A_FLC_48hr,YST6,R13,FLC,1,1,1,NA,NA,NA,3.9,,
211216_YST6_R13_B_FLC_48hr,YST6,R13,FLC,1,1,1,NA,NA,NA,4.8,,
220120_YST6_R13_A_FLC_48hr,YST6,R13,FLC,1,1,1,NA,NA,NA,4.9,,
220120_YST6_R13_B_FLC_48hr,YST6,R13,FLC,0,1,21,NA,NA,0.83,5.7,,
211216_YST6_R14_A_FLC_48hr,YST6,R14,FLC,1,1,1,NA,NA,NA,3.2,,
211216_YST6_R14_B_FLC_48hr,YST6,R14,FLC,1,1,1,NA,NA,NA,2.8,,
220120_YST6_R14_A_FLC_48hr,YST6,R14,FLC,1,1,1,NA,NA,NA,1.8,,
220120_YST6_R14_B_FLC_48hr,YST6,R14,FLC,1,1,1,NA,NA,NA,2.2,,
211216_YST6_R15_A_FLC_48hr,YST6,R15,FLC,1,1,1,NA,NA,NA,3.5,,
211216_YST6_R15_B_FLC_48hr,YST6,R15,FLC,0,1,11,NA,NA,0.82,5.9,,
220120_YST6_R15_A_FLC_48hr,YST6,R15,FLC,1,1,1,NA,NA,NA,0,,
220120_YST6_R15_B_FLC_48hr,YST6,R15,FLC,1,1,1,NA,NA,NA,2.5,,
211216_YST6_R16_A_FLC_48hr,YST6,R16,FLC,0,1,20,NA,NA,0.78,5.8,,
211216_YST6_R16_B_FLC_48hr,YST6,R16,FLC,1,1,1,NA,NA,NA,4.9,,
220120_YST6_R16_A_FLC_48hr,YST6,R16,FLC,1,1,1,NA,NA,NA,2.3,,
220120_YST6_R16_B_FLC_48hr,YST6,R16,FLC,0,1,9,NA,NA,0.85,5.9,,
211216_YST6_R17_A_FLC_48hr,YST6,R17,FLC,0,1,23,NA,NA,0.69,8.7,,
211216_YST6_R17_B_FLC_48hr,YST6,R17,FLC,1,1,1,NA,NA,NA,3.9,,
220120_YST6_R17_A_FLC_48hr,YST6,R17,FLC,1,1,1,NA,NA,NA,0,,
220120_YST6_R17_B_FLC_48hr,YST6,R17,FLC,1,1,1,NA,NA,NA,3.3,,
211216_YST6_R18_A_FLC_48hr,YST6,R18,FLC,1,1,1,NA,NA,NA,1.6,,
211216_YST6_R18_B_FLC_48hr,YST6,R18,FLC,1,1,1,NA,NA,NA,0.1,,
220120_YST6_R18_A_FLC_48hr,YST6,R18,FLC,1,1,1,NA,NA,NA,2.7,,
220120_YST6_R18_B_FLC_48hr,YST6,R18,FLC,1,1,1,NA,NA,NA,2.2,,
220120_YST6_R19_A_FLC_48hr,YST6,R19,FLC,1,1,1,NA,NA,NA,1.8,,
220120_YST6_R19_A1_FLC_48hr.tx,YST6,R19,FLC,1,1,1,NA,NA,NA,1.5,,
220120_YST6_R19_B_FLC_48hr,YST6,R19,FLC,1,1,1,NA,NA,NA,3.1,,
220120_YST6_R19_B1_FLC_48hr.tx,YST6,R19,FLC,1,1,1,NA,NA,NA,1.8,,
220120_YST6_R20_A_FLC_48hr,YST6,R20,FLC,1,1,1,NA,NA,NA,1,,
220120_YST6_R20_A1_FLC_48hr.tx,YST6,R20,FLC,1,1,1,NA,NA,NA,2.6,,
220120_YST6_R20_B_FLC_48hr,YST6,R20,FLC,1,1,1,NA,NA,NA,1.9,,
220120_YST6_R20_B1_FLC_48hr.tx,YST6,R20,FLC,1,1,1,NA,NA,NA,0.9,,
