"","name","line","type","replicate","drug","RAD80","RAD50","RAD20","FoG80","FoG50","FoG20","slope","DDA","...12"
"536","YST7_V_22_b_BA_48hour","YST7","V",22,"BA",12,13,14,0.07,0.07,0.09,130,"DDA6",NA
"537","YST7_V_22_b_FLC_48hour","YST7","V",22,"FLC",10,15,16,0.22,0.23,0.21,93.6,"DDA6",NA
"538","YST7_V_3_a_BA_48hour","YST7","V",3,"BA",10,11,12,0.08,0.11,0.16,126.5,"DDA6",NA
"539","YST7_V_3_a_FLC_48hour","YST7","V",3,"FLC",9,14,16,0.39,0.31,0.26,103.4,"DDA6",NA
"540","YST7_V_3_b_BA_48hour","YST7","V",3,"BA",12,13,14,0.06,0.07,0.11,124.6,"DDA6",NA
"541","YST7_V_3_b_FLC_48hour","YST7","V",3,"FLC",9,14,15,0.35,0.26,0.23,97.7,"DDA6",NA
"542","YST7_V_5_a_BA_48hour","YST7","V",5,"BA",12,13,14,0.06,0.08,0.12,124.4,"DDA6",NA
"543","YST7_V_5_a_FLC_48hour","YST7","V",5,"FLC",9,14,16,0.29,0.29,0.24,91.5,"DDA6",NA
"544","YST7_V_5_b_BA_48hour","YST7","V",5,"BA",14,15,16,0.06,0.08,0.1,137.7,"DDA6",NA
"545","YST7_V_5_b_FLC_48hour","YST7","V",5,"FLC",10,15,16,0.3,0.25,0.23,83.8,"DDA6",NA
"546","YST7_V_6_a_BA_48hour","YST7","V",6,"BA",11,12,13,0.06,0.08,0.12,120.9,"DDA6",NA
"547","YST7_V_6_a_FLC_48hour","YST7","V",6,"FLC",9,14,16,0.38,0.3,0.25,86,"DDA6",NA
"548","YST7_V_6_b_BA_48hour","YST7","V",6,"BA",12,13,13,0.07,0.09,0.09,128.6,"DDA6",NA
"549","YST7_V_6_b_FLC_48hour","YST7","V",6,"FLC",9,14,15,0.37,0.29,0.23,96.8,"DDA6",NA
"550","YST7_V_8_a_BA_48hour","YST7","V",8,"BA",11,12,13,0.06,0.08,0.13,136.4,"DDA6",NA
"551","YST7_V_8_a_FLC_48hour","YST7","V",8,"FLC",10,15,16,0.26,0.24,0.22,88.5,"DDA6",NA
"552","YST7_V_8_b_BA_48hour","YST7","V",8,"BA",12,13,14,0.06,0.08,0.12,127.5,"DDA6",NA
"553","YST7_V_8_b_FLC_48hour","YST7","V",8,"FLC",10,14,15,0.33,0.23,0.21,91.6,"DDA6",NA
