"","name","line","PlaceIsol","drug","RAD80","RAD50","RAD20","FoG80","FoG50","FoG20","slope","...12","...13","type","replicate"
"211","220113_YST6_V5_B_BA_48hr","YST6","V5","BA",6,8,9,0.19,0.24,0.2,44.5,NA,NA,"V",5
"212","211126_YST6_V6_A_BA_48h","YST6","V6","BA",8,10,13,0.13,0.24,0.3,25.5,NA,NA,"V",6
"213","211126_YST6_V6_B_BA_48h","YST6","V6","BA",8,10,14,0.13,0.19,0.33,27.9,NA,NA,"V",6
"214","220113_YST6_V6_A_BA_48hr","YST6","V6","BA",5,9,10,0.12,0.33,0.28,43.5,NA,NA,"V",6
"215","220113_YST6_V6_B_BA_48hr","YST6","V6","BA",4,7,8,0.31,0.31,0.29,38.6,NA,NA,"V",6
"216","211209_YST6_V7_A_BA_48hr","YST6","V7","BA",3,8,10,0.41,0.44,0.43,25,NA,NA,"V",7
"217","211209_YST6_V7_B_BA_48hr","YST6","V7","BA",4,9,11,0.19,0.39,0.35,26.4,NA,NA,"V",7
"218","220113_YST6_V7_A_BA_48hr","YST6","V7","BA",6,8,12,0.09,0.19,0.32,41.2,NA,NA,"V",7
"219","220113_YST6_V7_B_BA_48hr","YST6","V7","BA",4,8,10,0.27,0.46,0.38,29.1,NA,NA,"V",7
"220","211209_YST6_V8_A_BA_48hr","YST6","V8","BA",5,9,11,0.25,0.38,0.31,26.6,NA,NA,"V",8
"221","211209_YST6_V8_B_BA_48hr","YST6","V8","BA",4,7,11,0.19,0.35,0.41,22.8,NA,NA,"V",8
"222","220113_YST6_V8_A_BA_48hr","YST6","V8","BA",4,7,9,0.15,0.33,0.33,35.8,NA,NA,"V",8
"223","220113_YST6_V8_B_BA_48hr","YST6","V8","BA",5,9,10,0.17,0.34,0.29,39,NA,NA,"V",8
"224","211209_YST6_V9_A_BA_48hr","YST6","V9","BA",5,9,12,0.16,0.34,0.36,26.1,NA,NA,"V",9
"225","211209_YST6_V9_B_BA_48hr","YST6","V9","BA",2,7,9,0.43,0.52,0.47,20.6,NA,NA,"V",9
"226","220113_YST6_V9_A_BA_48hr","YST6","V9","BA",5,9,11,0.19,0.37,0.34,30.8,NA,NA,"V",9
"227","220113_YST6_V9_B_BA_48hr","YST6","V9","BA",6,8,12,0.1,0.19,0.32,42.3,NA,NA,"V",9
"228","211209_YST6_V10_A_BA_48hr","YST6","V10","BA",2,5,6,0.64,0.46,0.4,26.4,NA,NA,"V",10
"229","211209_YST6_V10_B_BA_48hr","YST6","V10","BA",2,6,9,0.6,0.46,0.5,15.5,NA,NA,"V",10
"230","220113_YST6_V10_A_BA_48hr","YST6","V10","BA",2,5,7,0.57,0.52,0.46,24.9,NA,NA,"V",10
"231","220113_YST6_V10_B_BA_48hr","YST6","V10","BA",3,5,9,0.25,0.35,0.45,25.1,NA,NA,"V",10
"232","211209_YST6_V11_A_BA_48hr","YST6","V11","BA",3,7,10,0.52,0.46,0.46,18.9,NA,NA,"V",11
"233","211209_YST6_V11_B_BA_48hr","YST6","V11","BA",2,7,8,0.25,0.48,0.39,20.2,NA,NA,"V",11
"234","220113_YST6_V11_A_BA_48hr","YST6","V11","BA",6,7,12,0.07,0.13,0.36,31.2,NA,NA,"V",11
"235","220113_YST6_V11_B_BA_48hr","YST6","V11","BA",7,9,12,0.11,0.18,0.32,45.6,NA,NA,"V",11
"236","211209_YST6_V12_A_BA_48hr","YST6","V12","BA",6,10,12,0.24,0.36,0.31,26.8,NA,NA,"V",12
"237","211209_YST6_V12_B_BA_48hr","YST6","V12","BA",3,7,13,0.26,0.41,0.53,16.1,NA,NA,"V",12
"238","220113_YST6_V12_A_BA_48hr","YST6","V12","BA",5,7,10,0.17,0.24,0.35,35.9,NA,NA,"V",12
"239","220113_YST6_V12_B_BA_48hr","YST6","V12","BA",2,7,8,0.4,0.47,0.4,22,NA,NA,"V",12
"240","211216_YST6_V13_A_BA_48hr","YST6","V13","BA",5,9,11,0.21,0.32,0.29,41.1,NA,NA,"V",13
"241","211216_YST6_V13_B_BA_48hr","YST6","V13","BA",6,9,10,0.32,0.28,0.26,39.5,NA,NA,"V",13
"242","220120_YST6_V13_A_BA_48hr","YST6","V13","BA",7,10,11,0.11,0.27,0.26,38.6,NA,NA,"V",13
"243","220120_YST6_V13_B_BA_48hr","YST6","V13","BA",4,8,12,0.38,0.41,0.45,14.7,NA,NA,"V",13
"244","211216_YST6_V14_A_BA_48hr","YST6","V14","BA",7,9,11,0.36,0.23,0.29,41.6,NA,NA,"V",14
"245","211216_YST6_V14_B_BA_48hr","YST6","V14","BA",3,6,7,0.52,0.48,0.38,33,NA,NA,"V",14
"246","220120_YST6_V14_A_BA_48hr","YST6","V14","BA",5,9,10,0.1,0.34,0.3,28.1,NA,NA,"V",14
"247","220120_YST6_V14_B_BA_48hr","YST6","V14","BA",6,10,11,0.17,0.26,0.26,25.6,NA,NA,"V",14
"248","211216_YST6_V15_A_BA_48hr","YST6","V15","BA",3,8,9,0.29,0.42,0.38,18.7,NA,NA,"V",15
"249","211216_YST6_V15_B_BA_48hr","YST6","V15","BA",6,9,11,0.24,0.29,0.3,36.2,NA,NA,"V",15
"250","220120_YST6_V15_A_BA_48hr","YST6","V15","BA",6,10,11,0.11,0.27,0.27,39.9,NA,NA,"V",15
"251","220120_YST6_V15_B_BA_48hr","YST6","V15","BA",6,9,11,0.1,0.29,0.29,42.6,NA,NA,"V",15
"252","211216_YST6_V16_A_BA_48hr","YST6","V16","BA",5,9,10,0.36,0.33,0.31,34.8,NA,NA,"V",16
"253","211216_YST6_V16_B_BA_48hr","YST6","V16","BA",4,8,10,0.33,0.42,0.35,29.7,NA,NA,"V",16
"254","220120_YST6_V16_A_BA_48hr","YST6","V16","BA",4,8,9,0.11,0.41,0.33,32,NA,NA,"V",16
"255","220120_YST6_V16_B_BA_48hr","YST6","V16","BA",6,7,10,0.31,0.23,0.4,23.6,NA,NA,"V",16
"256","211216_YST6_V17_A_BA_48hr","YST6","V17","BA",6,10,11,0.16,0.28,0.23,38.9,NA,NA,"V",17
"257","211216_YST6_V17_B_BA_48hr","YST6","V17","BA",5,9,10,0.21,0.3,0.26,36.7,NA,NA,"V",17
"258","220120_YST6_V17_A_BA_48hr","YST6","V17","BA",3,8,9,0.2,0.43,0.33,26.1,NA,NA,"V",17
"259","220120_YST6_V17_B_BA_48hr","YST6","V17","BA",4,7,8,0.48,0.38,0.31,23.3,NA,NA,"V",17
"260","211216_YST6_V18_A_BA_48hr","YST6","V18","BA",5,9,11,0.21,0.3,0.32,30,NA,NA,"V",18
"261","211216_YST6_V18_B_BA_48hr","YST6","V18","BA",5,8,10,0.34,0.33,0.32,30.7,NA,NA,"V",18
"262","220120_YST6_V18_A_BA_48hr","YST6","V18","BA",4,8,10,0.21,0.41,0.36,23.4,NA,NA,"V",18
"263","220120_YST6_V18_B_BA_48hr","YST6","V18","BA",4,8,10,0.17,0.45,0.39,25.8,NA,NA,"V",18
"264","220113_YST6_V19_A_BA_48hr","YST6","V19","BA",4,7,8,0.5,0.38,0.33,32.2,NA,NA,"V",19
"265","220113_YST6_V19_B_BA_48hr","YST6","V19","BA",3,6,8,0.38,0.38,0.39,36,NA,NA,"V",19
"266","220120_YST6_V19_A_BA_48hr","YST6","V19","BA",4,7,9,0.46,0.35,0.37,29.1,NA,NA,"V",19
"267","220120_YST6_V19_B_BA_48hr","YST6","V19","BA",5,9,10,0.16,0.3,0.28,36.4,NA,NA,"V",19
"268","220113_YST6_V20_A_BA_48hr","YST6","V20","BA",3,6,8,0.48,0.4,0.42,18.9,NA,NA,"V",20
"269","220113_YST6_V20_B_BA_48hr","YST6","V20","BA",5,7,10,0.27,0.31,0.36,30.5,NA,NA,"V",20
"270","220120_YST6_V20_A_BA_48hr","YST6","V20","BA",6,9,11,0.12,0.27,0.27,36.6,NA,NA,"V",20
"271","220120_YST6_V20_B_BA_48hr","YST6","V20","BA",5,8,11,0.19,0.32,0.34,39.1,NA,NA,"V",20
"272","220113_YST6_V21_A_BA_48hr","YST6","V21","BA",2,7,8,0.36,0.53,0.35,35.1,NA,NA,"V",21
"273","220113_YST6_V21_B_BA_48hr","YST6","V21","BA",8,11,13,0.15,0.27,0.27,45.3,NA,NA,"V",21
"274","220120_YST6_V21_A_BA_48hr","YST6","V21","BA",3,7,8,0.55,0.44,0.38,30.7,NA,NA,"V",21
"275","220120_YST6_V21_B_BA_48hr","YST6","V21","BA",5,8,11,0.2,0.39,0.38,26.2,NA,NA,"V",21
"276","220113_YST6_V22_A_BA_48hr","YST6","V22","BA",5,9,10,0.17,0.32,0.28,41.5,NA,NA,"V",22
"277","220113_YST6_V22_B_BA_48hr","YST6","V22","BA",3,6,7,0.52,0.49,0.38,19.4,NA,NA,"V",22
"278","220120_YST6_V22_A_BA_48hr","YST6","V22","BA",4,6,10,0.19,0.31,0.48,18.5,NA,NA,"V",22
"279","220120_YST6_V22_B_BA_48hr","YST6","V22","BA",2,6,7,0.45,0.62,0.48,27.3,NA,NA,"V",22
"280","220113_YST6_V23_A_BA_48hr","YST6","V23","BA",2,3,5,0.5,0.44,0.54,16.7,NA,NA,"V",23
"281","220113_YST6_V23_B_BA_48hr","YST6","V23","BA",2,5,6,0.6,0.46,0.42,24.5,NA,NA,"V",23
"282","220120_YST6_V23_A_BA_48hr","YST6","V23","BA",4,7,8,0.28,0.35,0.29,35,NA,NA,"V",23
"283","220120_YST6_V23_B_BA_48hr","YST6","V23","BA",5,8,9,0.34,0.29,0.3,29.6,NA,NA,"V",23
"284","220113_YST6_V24_A_BA_48hr","YST6","V24","BA",4,6,8,0.42,0.33,0.36,18.6,NA,NA,"V",24
"285","220113_YST6_V24_B_BA_48hr","YST6","V24","BA",3,6,7,0.43,0.39,0.39,16.7,NA,NA,"V",24
"286","220120_YST6_V24_A_BA_48hr","YST6","V24","BA",5,8,11,0.15,0.31,0.34,33.7,NA,NA,"V",24
"287","220120_YST6_V24_B_BA_48hr","YST6","V24","BA",3,8,9,0.22,0.44,0.35,28.6,NA,NA,"V",24
"288","211126_YST6_V1_A_FLC_48h","YST6","V1","FLC",1,1,1,NA,NA,NA,4.2,NA,NA,"V",1
"289","211126_YST6_V1_B_FLC_48h","YST6","V1","FLC",1,1,1,NA,NA,NA,4.3,NA,NA,"V",1
"290","220113_YST6_V1_A_FLC_48hr","YST6","V1","FLC",1,1,1,NA,NA,NA,0.5,NA,NA,"V",1
"291","220113_YST6_V1_B_FLC_48hr","YST6","V1","FLC",1,1,1,NA,NA,NA,2.7,NA,NA,"V",1
"292","211126_YST6_V2_A_FLC_48h","YST6","V2","FLC",1,1,1,NA,NA,NA,3.4,NA,NA,"V",2
"293","211126_YST6_V2_B_FLC_48h","YST6","V2","FLC",1,1,1,NA,NA,NA,2.2,NA,NA,"V",2
"294","220113_YST6_V2_A_FLC_48hr","YST6","V2","FLC",1,1,1,NA,NA,NA,2.3,NA,NA,"V",2
"295","220113_YST6_V2_B_FLC_48hr","YST6","V2","FLC",1,1,1,NA,NA,NA,3.1,NA,NA,"V",2
"296","211126_YST6_V3_A_FLC_48h","YST6","V3","FLC",1,1,1,NA,NA,NA,3.9,NA,NA,"V",3
"297","211126_YST6_V3_B_FLC_48h","YST6","V3","FLC",1,1,1,NA,NA,NA,3.8,NA,NA,"V",3
"298","220113_YST6_V3_A_FLC_48hr","YST6","V3","FLC",1,1,1,NA,NA,NA,2.1,NA,NA,"V",3
"299","220113_YST6_V3_B_FLC_48hr","YST6","V3","FLC",1,1,1,NA,NA,NA,0.6,NA,NA,"V",3
"300","211126_YST6_V4_A_FLC_48h","YST6","V4","FLC",0,1,1,NA,NA,NA,5.2,NA,NA,"V",4
"301","211126_YST6_V4_B_FLC_48h","YST6","V4","FLC",1,1,1,NA,NA,NA,4.2,NA,NA,"V",4
"302","220113_YST6_V4_A_FLC_48hr","YST6","V4","FLC",1,1,1,NA,NA,NA,0.4,NA,NA,"V",4
"303","220113_YST6_V4_B_FLC_48hr","YST6","V4","FLC",0,1,1,NA,NA,NA,6.7,NA,NA,"V",4
"304","211126_YST6_V5_A_FLC_48h","YST6","V5","FLC",1,1,1,NA,NA,NA,4.3,NA,NA,"V",5
"305","211126_YST6_V5_B_FLC_48h","YST6","V5","FLC",1,1,1,NA,NA,NA,2.5,NA,NA,"V",5
"306","220113_YST6_V5_A_FLC_48hr","YST6","V5","FLC",1,1,1,NA,NA,NA,2.5,NA,NA,"V",5
"307","220113_YST6_V5_B_FLC_48hr","YST6","V5","FLC",0,1,1,NA,NA,NA,6,NA,NA,"V",5
"308","211126_YST6_V6_A_FLC_48h","YST6","V6","FLC",1,1,1,NA,NA,NA,2.9,NA,NA,"V",6
"309","211126_YST6_V6_B_FLC_48h","YST6","V6","FLC",1,1,1,NA,NA,NA,4.2,NA,NA,"V",6
"310","220113_YST6_V6_A_FLC_48hr","YST6","V6","FLC",1,1,1,NA,NA,NA,1,NA,NA,"V",6
"311","220113_YST6_V6_B_FLC_48hr","YST6","V6","FLC",1,1,1,NA,NA,NA,3.9,NA,NA,"V",6
"312","211209_YST6_V7_A_FLC_48hr","YST6","V7","FLC",1,1,1,NA,NA,NA,3.4,NA,NA,"V",7
"313","211209_YST6_V7_B_FLC_48hr","YST6","V7","FLC",1,1,1,NA,NA,NA,3.3,NA,NA,"V",7
"314","220113_YST6_V7_A_FLC_48hr","YST6","V7","FLC",1,1,1,NA,NA,NA,4.1,NA,NA,"V",7
"315","220113_YST6_V7_B_FLC_48hr","YST6","V7","FLC",1,1,1,NA,NA,NA,1.9,NA,NA,"V",7
"316","211209_YST6_V7._A_FLC_48hr","YST6","V7.","FLC",1,1,1,NA,NA,NA,3.5,NA,NA,"V",7
"317","211209_YST6_V8_A_FLC_48hr","YST6","V8","FLC",1,1,1,NA,NA,NA,4.3,NA,NA,"V",8
"318","211209_YST6_V8_B_FLC_48hr","YST6","V8","FLC",1,1,1,NA,NA,NA,3,NA,NA,"V",8
"319","220113_YST6_V8_A_FLC_48hr","YST6","V8","FLC",1,1,1,NA,NA,NA,0,NA,NA,"V",8
"320","220113_YST6_V8_B_FLC_48hr","YST6","V8","FLC",1,1,1,NA,NA,NA,2,NA,NA,"V",8
"321","211209_YST6_V9_A_FLC_48hr","YST6","V9","FLC",1,1,1,NA,NA,NA,2,NA,NA,"V",9
"322","211209_YST6_V9_B_FLC_48hr","YST6","V9","FLC",1,1,1,NA,NA,NA,2.5,NA,NA,"V",9
"323","220113_YST6_V9_A_FLC_48hr","YST6","V9","FLC",1,1,1,NA,NA,NA,2.5,NA,NA,"V",9
"324","220113_YST6_V9_B_FLC_48hr","YST6","V9","FLC",1,1,1,NA,NA,NA,1.4,NA,NA,"V",9
"325","211209_YST6_V10_A_FLC_48hr","YST6","V10","FLC",1,1,1,NA,NA,NA,0.4,NA,NA,"V",10
"326","211209_YST6_V10_B_FLC_48hr","YST6","V10","FLC",1,1,1,NA,NA,NA,0.7,NA,NA,"V",10
"327","220113_YST6_V10_A_FLC_48hr","YST6","V10","FLC",1,1,1,NA,NA,NA,1.4,NA,NA,"V",10
"328","220113_YST6_V10_B_FLC_48hr","YST6","V10","FLC",1,1,1,NA,NA,NA,1.9,NA,NA,"V",10
"329","211209_YST6_V11_A_FLC_48hr","YST6","V11","FLC",0,1,1,NA,NA,NA,5.4,NA,NA,"V",11
"330","211209_YST6_V11_B_FLC_48hr","YST6","V11","FLC",0,1,1,NA,NA,NA,5.2,NA,NA,"V",11
"331","220113_YST6_V11_A_FLC_48hr","YST6","V11","FLC",1,1,1,NA,NA,NA,0.4,NA,NA,"V",11
"332","220113_YST6_V11_B_FLC_48hr","YST6","V11","FLC",1,1,1,NA,NA,NA,0.6,NA,NA,"V",11
"333","211209_YST6_V12_A_FLC_48hr","YST6","V12","FLC",1,1,1,NA,NA,NA,2.6,NA,NA,"V",12
"334","211209_YST6_V12_B_FLC_48hr","YST6","V12","FLC",1,1,1,NA,NA,NA,2.3,NA,NA,"V",12
"335","220113_YST6_V12_A_FLC_48hr","YST6","V12","FLC",1,1,1,NA,NA,NA,3.5,NA,NA,"V",12
"336","220113_YST6_V12_B_FLC_48hr","YST6","V12","FLC",1,1,1,NA,NA,NA,1.2,NA,NA,"V",12
"337","211216_YST6_V13_A_FLC_48hr","YST6","V13","FLC",1,1,1,NA,NA,NA,0.9,NA,NA,"V",13
"338","211216_YST6_V13_B_FLC_48hr","YST6","V13","FLC",1,1,1,NA,NA,NA,1.4,NA,NA,"V",13
"339","220120_YST6_V13_A_FLC_48hr","YST6","V13","FLC",1,1,1,NA,NA,NA,3.9,NA,NA,"V",13
"340","220120_YST6_V13_B_FLC_48hr","YST6","V13","FLC",1,1,1,NA,NA,NA,0.3,NA,NA,"V",13
"341","211216_YST6_V14_A_FLC_48hr","YST6","V14","FLC",1,1,1,NA,NA,NA,0.5,NA,NA,"V",14
"342","211216_YST6_V14_B_FLC_48hr","YST6","V14","FLC",1,1,1,NA,NA,NA,4.2,NA,NA,"V",14
"343","220120_YST6_V14_A_FLC_48hr","YST6","V14","FLC",1,1,1,NA,NA,NA,3.9,NA,NA,"V",14
"344","220120_YST6_V14_B_FLC_48hr","YST6","V14","FLC",1,1,1,NA,NA,NA,1.5,NA,NA,"V",14
"345","211216_YST6_V15_A_FLC_48hr","YST6","V15","FLC",1,1,1,NA,NA,NA,4.8,NA,NA,"V",15
"346","211216_YST6_V15_B_FLC_48hr","YST6","V15","FLC",0,1,1,NA,NA,NA,12.1,NA,NA,"V",15
"347","220120_YST6_V15_A_FLC_48hr","YST6","V15","FLC",1,1,1,NA,NA,NA,1.1,NA,NA,"V",15
"348","220120_YST6_V15_B_FLC_48hr","YST6","V15","FLC",1,1,1,NA,NA,NA,0.3,NA,NA,"V",15
"349","211216_YST6_V16_A_FLC_48hr","YST6","V16","FLC",0,1,1,NA,NA,NA,6.9,NA,NA,"V",16
"350","211216_YST6_V16_B_FLC_48hr","YST6","V16","FLC",1,1,1,NA,NA,NA,4,NA,NA,"V",16
"351","220120_YST6_V16_A_FLC_48hr","YST6","V16","FLC",1,1,1,NA,NA,NA,4.4,NA,NA,"V",16
"352","220120_YST6_V16_B_FLC_48hr","YST6","V16","FLC",1,1,1,NA,NA,NA,3.3,NA,NA,"V",16
"353","211216_YST6_V17_A_FLC_48hr","YST6","V17","FLC",0,1,1,NA,NA,NA,6.8,NA,NA,"V",17
"354","211216_YST6_V17_B_FLC_48hr","YST6","V17","FLC",2,1,23,0.64,NA,0.52,14.9,NA,NA,"V",17
"355","220120_YST6_V17_A_FLC_48hr","YST6","V17","FLC",1,1,1,NA,NA,NA,0,NA,NA,"V",17
"356","220120_YST6_V17_B_FLC_48hr","YST6","V17","FLC",1,1,1,NA,NA,NA,4.6,NA,NA,"V",17
"357","211216_YST6_V18_A_FLC_48hr","YST6","V18","FLC",1,1,1,NA,NA,NA,4.2,NA,NA,"V",18
"358","211216_YST6_V18_B_FLC_48hr","YST6","V18","FLC",1,1,1,NA,NA,NA,3.4,NA,NA,"V",18
"359","220120_YST6_V18_A_FLC_48hr","YST6","V18","FLC",1,1,1,NA,NA,NA,1.2,NA,NA,"V",18
"360","220120_YST6_V18_B_FLC_48hr","YST6","V18","FLC",1,1,1,NA,NA,NA,4.6,NA,NA,"V",18
"361","220113_YST6_V19_A_FLC_48hr","YST6","V19","FLC",1,1,1,NA,NA,NA,2.3,NA,NA,"V",19
"362","220113_YST6_V19_B_FLC_48hr","YST6","V19","FLC",1,1,1,NA,NA,NA,1.3,NA,NA,"V",19
"363","220120_YST6_V19_A_FLC_48hr","YST6","V19","FLC",1,1,1,NA,NA,NA,2.5,NA,NA,"V",19
"364","220120_YST6_V19_B_FLC_48hr","YST6","V19","FLC",0,1,1,NA,NA,NA,5.1,NA,NA,"V",19
"365","220113_YST6_V20_A_FLC_48hr","YST6","V20","FLC",1,1,1,NA,NA,NA,1.5,NA,NA,"V",20
"366","220113_YST6_V20_B_FLC_48hr","YST6","V20","FLC",0,1,1,NA,NA,NA,5.3,NA,NA,"V",20
"367","220120_YST6_V20_A_FLC_48hr","YST6","V20","FLC",1,1,1,NA,NA,NA,0,NA,NA,"V",20
"368","220120_YST6_V20_B_FLC_48hr","YST6","V20","FLC",1,1,1,NA,NA,NA,0.4,NA,NA,"V",20
"369","220113_YST6_V21_A_FLC_48hr","YST6","V21","FLC",1,1,1,NA,NA,NA,3.2,NA,NA,"V",21
"370","220113_YST6_V21_B_FLC_48hr","YST6","V21","FLC",1,1,1,NA,NA,NA,3.5,NA,NA,"V",21
"371","220120_YST6_V21_A_FLC_48hr","YST6","V21","FLC",1,1,1,NA,NA,NA,0.4,NA,NA,"V",21
"372","220120_YST6_V21_B_FLC_48hr","YST6","V21","FLC",1,1,1,NA,NA,NA,1.2,NA,NA,"V",21
"373","220113_YST6_V22_A_FLC_48hr","YST6","V22","FLC",1,1,1,NA,NA,NA,1.9,NA,NA,"V",22
"374","220113_YST6_V22_B_FLC_48hr","YST6","V22","FLC",1,1,1,NA,NA,NA,1.4,NA,NA,"V",22
"375","220120_YST6_V22_A_FLC_48hr","YST6","V22","FLC",1,1,1,NA,NA,NA,1.5,NA,NA,"V",22
"376","220120_YST6_V22_B_FLC_48hr","YST6","V22","FLC",1,1,1,NA,NA,NA,1.8,NA,NA,"V",22
"377","220113_YST6_V23_A_FLC_48hr","YST6","V23","FLC",1,1,1,NA,NA,NA,3.1,NA,NA,"V",23
"378","220113_YST6_V23_B_FLC_48hr","YST6","V23","FLC",1,1,1,NA,NA,NA,0.7,NA,NA,"V",23
"379","220120_YST6_V23_A_FLC_48hr","YST6","V23","FLC",1,1,1,NA,NA,NA,1,NA,NA,"V",23
"380","220120_YST6_V23_B_FLC_48hr","YST6","V23","FLC",1,1,1,NA,NA,NA,1.9,NA,NA,"V",23
"381","220113_YST6_V24_A_FLC_48hr","YST6","V24","FLC",1,1,1,NA,NA,NA,5,NA,NA,"V",24
"382","220113_YST6_V24_B_FLC_48hr","YST6","V24","FLC",1,1,1,NA,NA,NA,1.5,NA,NA,"V",24
"383","220120_YST6_V24_A_FLC_48hr","YST6","V24","FLC",1,1,1,NA,NA,NA,1.9,NA,NA,"V",24
"384","220120_YST6_V24_B_FLC_48hr","YST6","V24","FLC",1,1,1,NA,NA,NA,3.1,NA,NA,"V",24
"385","211126_YST7_R1_A_BA_48h","YST7","R1","BA",9,10,12,0.08,0.13,0.2,74.4,NA,NA,"R",1
"386","211126_YST7_R1_B_BA_48h","YST7","R1","BA",8,10,11,0.08,0.13,0.17,88,NA,NA,"R",1
"387","220113_YST7_R1_A_BA_48hr","YST7","R1","BA",7,8,11,0.09,0.13,0.3,61.9,NA,NA,"R",1
"388","220113_YST7_R1_B_BA_48hr","YST7","R1","BA",5,6,7,0.09,0.13,0.2,62.6,NA,NA,"R",1
"389","211126_YST7_R2_A_BA_48h","YST7","R2","BA",9,10,14,0.07,0.11,0.31,63.3,NA,NA,"R",2
"390","211126_YST7_R2_B_BA_48h","YST7","R2","BA",10,11,12,0.06,0.07,0.11,76.3,NA,NA,"R",2
"391","220113_YST7_R2_A_BA_48hr","YST7","R2","BA",9,9,11,0.1,0.09,0.19,82.6,NA,NA,"R",2
"392","220113_YST7_R2_B_BA_48hr","YST7","R2","BA",8,9,11,0.08,0.1,0.19,87.2,NA,NA,"R",2
"393","211126_YST7_R3_A_BA_48h","YST7","R3","BA",8,9,11,0.12,0.12,0.2,87,NA,NA,"R",3
"394","211126_YST7_R3_B_BA_48h","YST7","R3","BA",9,10,11,0.11,0.13,0.17,80.1,NA,NA,"R",3
"395","220113_YST7_R3_A_BA_48hr","YST7","R3","BA",7,8,9,0.13,0.17,0.22,73.7,NA,NA,"R",3
"396","220113_YST7_R3_B_BA_48hr","YST7","R3","BA",8,10,12,0.13,0.18,0.26,66.3,NA,NA,"R",3
"397","211126_YST7_R4_A_BA_48h","YST7","R4","BA",0,1,1,NA,NA,NA,11.3,NA,NA,"R",4
"398","211126_YST7_R4_B_BA_48h","YST7","R4","BA",8,10,12,0.05,0.14,0.23,66,NA,NA,"R",4
"399","220113_YST7_R4_A_BA_48hr","YST7","R4","BA",7,8,10,0.12,0.14,0.23,63.8,NA,NA,"R",4
"400","220113_YST7_R4_B_BA_48hr","YST7","R4","BA",6,7,9,0.16,0.18,0.3,60.9,NA,NA,"R",4
"401","211126_YST7_R5_A_BA_48h","YST7","R5","BA",9,10,11,0.09,0.13,0.17,73.4,NA,NA,"R",5
"402","211126_YST7_R5_B_BA_48h","YST7","R5","BA",9,10,21,0.11,0.13,0.48,30.5,NA,NA,"R",5
"403","220113_YST7_R5_A_BA_48hr","YST7","R5","BA",7,8,10,0.1,0.1,0.21,59.4,NA,NA,"R",5
"404","220113_YST7_R5_B_BA_48hr","YST7","R5","BA",7,8,9,0.13,0.16,0.2,66.9,NA,NA,"R",5
"405","211126_YST7_R6_A_BA_48h","YST7","R6","BA",8,8,10,0.11,0.1,0.2,74.5,NA,NA,"R",6
"406","220113_YST7_R6_A_BA_48hr","YST7","R6","BA",6,7,8,0.13,0.17,0.22,54.4,NA,NA,"R",6
"407","220113_YST7_R6_B_BA_48hr","YST7","R6","BA",6,7,8,0.12,0.2,0.22,52.4,NA,NA,"R",6
"408","211209_YST7_R7_A_BA_48hr","YST7","R7","BA",6,6,8,0.09,0.08,0.23,89.8,NA,NA,"R",7
"409","211209_YST7_R7_B_BA_48hr","YST7","R7","BA",8,9,11,0.05,0.08,0.2,96.5,NA,NA,"R",7
"410","220113_YST7_R7_A_BA_48hr","YST7","R7","BA",8,8,10,0.1,0.09,0.2,67.9,NA,NA,"R",7
"411","211209_YST7_R8_A_BA_48hr","YST7","R8","BA",8,9,11,0.08,0.09,0.2,93.6,NA,NA,"R",8
"412","211209_YST7_R8_B_BA_48hr","YST7","R8","BA",7,8,9,0.1,0.12,0.16,78.2,NA,NA,"R",8
"413","220113_YST7_R8_A_BA_48hr","YST7","R8","BA",8,9,10,0.08,0.11,0.16,55.6,NA,NA,"R",8
"414","220113_YST7_R8_B_BA_48hr","YST7","R8","BA",6,7,9,0.12,0.17,0.33,49.5,NA,NA,"R",8
"415","211209_YST7_R9_A_BA_48hr","YST7","R9","BA",7,9,10,0.05,0.16,0.18,80.1,NA,NA,"R",9
"416","211209_YST7_R9_B_BA_48hr","YST7","R9","BA",8,9,10,0.08,0.11,0.14,64.9,NA,NA,"R",9
"417","220113_YST7_R9_A_BA_48hr","YST7","R9","BA",5,6,7,0.14,0.16,0.21,70.1,NA,NA,"R",9
"418","220113_YST7_R9_B_BA_48hr","YST7","R9","BA",9,10,12,0.06,0.06,0.17,78.6,NA,NA,"R",9
"419","211209_YST7_R10_A_BA_48hr","YST7","R10","BA",8,9,10,0.09,0.13,0.18,81.1,NA,NA,"R",10
"420","211209_YST7_R10_B_BA_48hr","YST7","R10","BA",7,8,9,0.13,0.16,0.2,72.9,NA,NA,"R",10
"421","220113_YST7_R10_A_BA_48hr","YST7","R10","BA",8,9,10,0.08,0.09,0.13,91.4,NA,NA,"R",10
"422","220113_YST7_R10_B_BA_48hr","YST7","R10","BA",6,7,8,0.09,0.13,0.18,69.1,NA,NA,"R",10
"423","211209_YST7_R11_A_BA_48hr","YST7","R11","BA",9,10,11,0.08,0.11,0.15,89.6,NA,NA,"R",11
"424","211209_YST7_R11_B_BA_48hr","YST7","R11","BA",7,8,10,0.11,0.12,0.23,70.6,NA,NA,"R",11
"425","220113_YST7_R11_A_BA_48hr","YST7","R11","BA",5,6,9,0.1,0.1,0.33,49.3,NA,NA,"R",11
"426","220113_YST7_R11_B_BA_48hr","YST7","R11","BA",9,10,12,0.09,0.11,0.22,72.1,NA,NA,"R",11
